gene_id	chromosome_name	description
Potra2n4c9612	chr4	sp|O49596|HMGB2_ARATH High mobility group B protein 2 OS=Arabidopsis thaliana OX=3702 GN=HMGB2 PE=1 SV=1
Potra2n4c9613	chr4	sp|Q10289|FAS2_SCHPO Fatty acid synthase subunit alpha OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=fas2 PE=1 SV=2
Potra2n4c9614	chr4	sp|Q60275|Y3513_METJA Uncharacterized MCM-type protein MJECL13 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJECL13 PE=3 SV=1
Potra2n4c9615	chr4	None available
Potra2n4c9616	chr4	sp|A0A4D6Q414|CYP2_CROXC Flavonoid 3',5'-hydroxylase CYP75B138 OS=Crocosmia x crocosmiiflora OX=1053288 GN=CYP75B138 PE=1 SV=1
Potra2n4c9617	chr4	sp|P46746|RT11_PROWI Ribosomal protein S11, mitochondrial OS=Prototheca wickerhamii OX=3111 GN=RPS11 PE=3 SV=1
Potra2n4c9618	chr4	sp|Q54M71|PFD6_DICDI Probable prefoldin subunit 6 OS=Dictyostelium discoideum OX=44689 GN=pfdn6 PE=3 SV=1
Potra2n4c9619	chr4	sp|Q9SJA4|CNG14_ARATH Probable cyclic nucleotide-gated ion channel 14 OS=Arabidopsis thaliana OX=3702 GN=CNGC14 PE=2 SV=2
Potra2n4c9620	chr4	sp|P38888|MNL1_YEAST ER degradation-enhancing alpha-mannosidase-like protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MNL1 PE=1 SV=1
Potra2n4c9621	chr4	None available
Potra2n4c9622	chr4	sp|P03876|AI2M_YEAST Putative COX1/OXI3 intron 2 protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AI2 PE=4 SV=2
Potra2n4c9623	chr4	None available
Potra2n4c9624	chr4	sp|P52395|E13B_SOYBN Glucan endo-1,3-beta-glucosidase (Fragment) OS=Glycine max OX=3847 PE=2 SV=1
Potra2n4c9625	chr4	sp|Q9LJP1|GRIP4_ARATH GDSL esterase/lipase 4 OS=Arabidopsis thaliana OX=3702 GN=GLIP4 PE=2 SV=2
Potra2n4c9626	chr4	None available
Potra2n4c9627	chr4	sp|Q9UJX6|ANC2_HUMAN Anaphase-promoting complex subunit 2 OS=Homo sapiens OX=9606 GN=ANAPC2 PE=1 SV=1
Potra2n4c9628	chr4	None available
Potra2n4c9629	chr4	sp|B4LPX5|TRET1_DROVI Facilitated trehalose transporter Tret1 OS=Drosophila virilis OX=7244 GN=Tret1 PE=3 SV=2
Potra2n4c9630	chr4	sp|Q54XZ5|Y0138_DICDI Probable serine/threonine-protein kinase DDB_G0278509 OS=Dictyostelium discoideum OX=44689 GN=DDB_G0278509 PE=3 SV=1
Potra2n4c9631	chr4	sp|Q9SD34|C3H44_ARATH Zinc finger CCCH domain-containing protein 44 OS=Arabidopsis thaliana OX=3702 GN=At3g51120 PE=2 SV=3
Potra2n4c9632	chr4	None available
Potra2n4c9633	chr4	sp|Q9JI70|MKKS_MOUSE McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin OS=Mus musculus OX=10090 GN=Mkks PE=2 SV=2
Potra2n4c9634	chr4	None available
Potra2n4c9635	chr4	None available
Potra2n4c9636	chr4	sp|P24600|MTD1_HERAU Modification methylase HgiDI OS=Herpetosiphon aurantiacus OX=65 GN=hgiDIM PE=3 SV=1
Potra2n4c9637	chr4	sp|P34419|YLZ6_CAEEL Putative esterase F42H10.6 OS=Caenorhabditis elegans OX=6239 GN=F42H10.6 PE=1 SV=2
Potra2n4c9638	chr4	sp|Q9M8L3|VQ11_ARATH VQ motif-containing protein 11 OS=Arabidopsis thaliana OX=3702 GN=VQ11 PE=1 SV=1
Potra2n4c9639	chr4	sp|Q59T36|YTH1_CANAL mRNA 3'-end-processing protein YTH1 OS=Candida albicans (strain SC5314 / ATCC MYA-2876) OX=237561 GN=YTH1 PE=3 SV=1
Potra2n4c9640	chr4	sp|P0C894|PP143_ARATH Putative pentatricopeptide repeat-containing protein At2g02150 OS=Arabidopsis thaliana OX=3702 GN=At2g02150 PE=3 SV=1
Potra2n4c9641	chr4	sp|A2VE61|CLP1L_BOVIN Cleft lip and palate transmembrane protein 1-like protein OS=Bos taurus OX=9913 GN=CLPTM1L PE=2 SV=1
Potra2n4c9642	chr4	sp|P93310|M550_ARATH Uncharacterized mitochondrial protein AtMg00550 OS=Arabidopsis thaliana OX=3702 GN=AtMg00550 PE=2 SV=3
Potra2n4c9643	chr4	sp|Q4PD66|CCPR2_USTMA Putative heme-binding peroxidase OS=Ustilago maydis (strain 521 / FGSC 9021) OX=237631 GN=CCP2 PE=3 SV=1
Potra2n4c9644	chr4	None available
Potra2n4c9645	chr4	sp|Q9LS04|FB187_ARATH Putative F-box protein At3g25750 OS=Arabidopsis thaliana OX=3702 GN=At3g25750 PE=4 SV=2
Potra2n4c9646	chr4	sp|Q5SSN7|SFT2A_MOUSE Vesicle transport protein SFT2A OS=Mus musculus OX=10090 GN=Sft2d1 PE=1 SV=1
Potra2n4c9647	chr4	None available
Potra2n4c9648	chr4	None available
Potra2n4c9649	chr4	sp|Q9LQW3|ZHD14_ARATH Zinc-finger homeodomain protein 14 OS=Arabidopsis thaliana OX=3702 GN=ZHD14 PE=1 SV=1
Potra2n4c9650	chr4	sp|O74741|DIOXL_SCHPO 4,5-DOPA dioxygenase extradiol-like protein OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC1709.16c PE=3 SV=2
Potra2n4c9651	chr4	sp|O74741|DIOXL_SCHPO 4,5-DOPA dioxygenase extradiol-like protein OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC1709.16c PE=3 SV=2
Potra2n4c9652	chr4	None available
Potra2n4c9653	chr4	sp|C0LGD8|Y1755_ARATH Probable LRR receptor-like serine/threonine-protein kinase At1g07550 OS=Arabidopsis thaliana OX=3702 GN=At1g07550 PE=1 SV=1
Potra2n4c9654	chr4	sp|Q8H1R3|TBL24_ARATH Protein trichome birefringence-like 24 OS=Arabidopsis thaliana OX=3702 GN=TBL24 PE=2 SV=1
Potra2n4c9655	chr4	sp|Q8TBK2|SETD6_HUMAN N-lysine methyltransferase SETD6 OS=Homo sapiens OX=9606 GN=SETD6 PE=1 SV=2
Potra2n4c9656	chr4	None available
Potra2n4c9657	chr4	None available
Potra2n4c9658	chr4	None available
Potra2n4c9659	chr4	sp|Q60E34|BURP7_ORYSJ BURP domain-containing protein 7 OS=Oryza sativa subsp. japonica OX=39947 GN=BURP7 PE=2 SV=1
Potra2n4c9660	chr4	sp|Q9ZT94|POLR2_ARATH Retrovirus-related Pol polyprotein from transposon RE2 OS=Arabidopsis thaliana OX=3702 GN=RE2 PE=4 SV=1
Potra2n4c9661	chr4	sp|P93290|M240_ARATH Uncharacterized mitochondrial protein AtMg00240 OS=Arabidopsis thaliana OX=3702 GN=AtMg00240 PE=4 SV=1
Potra2n4c9662	chr4	sp|C0RWW9|AM1_MAIZE Protein AMEIOTIC 1 OS=Zea mays OX=4577 GN=AM1 PE=2 SV=1
Potra2n4c9663	chr4	sp|P27112|ATP4A_RABIT Potassium-transporting ATPase alpha chain 1 OS=Oryctolagus cuniculus OX=9986 GN=ATP4A PE=2 SV=3
Potra2n4c9664	chr4	sp|Q9ZT94|POLR2_ARATH Retrovirus-related Pol polyprotein from transposon RE2 OS=Arabidopsis thaliana OX=3702 GN=RE2 PE=4 SV=1
Potra2n4c9665	chr4	None available
Potra2n4c9666	chr4	sp|Q8S932|ACCO_DIOKA 1-aminocyclopropane-1-carboxylate oxidase OS=Diospyros kaki OX=35925 GN=DK-ACO1 PE=2 SV=1
Potra2n4c9667	chr4	sp|S3DB70|GLOM_GLAL2 2-oxoglutarate-dependent dioxygenase gloM OS=Glarea lozoyensis (strain ATCC 20868 / MF5171) OX=1116229 GN=gloM PE=1 SV=1
Potra2n4c9668	chr4	sp|Q4W946|ENCD_ASPFU 2-oxoglutarate-Fe(II) type oxidoreductase OS=Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) OX=330879 GN=encD PE=1 SV=2
Potra2n4c9669	chr4	sp|Q9LS86|DRIPH_ARATH Probable E3 ubiquitin protein ligase DRIPH OS=Arabidopsis thaliana OX=3702 GN=At3g23060 PE=2 SV=1
Potra2n4c9670	chr4	None available
Potra2n4c9671	chr4	None available
Potra2n4c9672	chr4	sp|P09309|IE61_VZVD E3 ubiquitin-protein ligase IE61 OS=Varicella-zoster virus (strain Dumas) OX=10338 GN=61 PE=1 SV=1
Potra2n4c9673	chr4	sp|Q8GV05|TRY_ARATH Transcription factor TRY OS=Arabidopsis thaliana OX=3702 GN=TRY PE=1 SV=1
Potra2n4c9674	chr4	sp|P84963|DEF1_TRIKH Defensin Tk-AMP-D1 OS=Triticum kiharae OX=376535 PE=1 SV=1
Potra2n4c9675	chr4	sp|P41034|TTPA_RAT Alpha-tocopherol transfer protein OS=Rattus norvegicus OX=10116 GN=Ttpa PE=1 SV=1
Potra2n4c9676	chr4	sp|P37173|TGFR2_HUMAN TGF-beta receptor type-2 OS=Homo sapiens OX=9606 GN=TGFBR2 PE=1 SV=2
Potra2n4c9677	chr4	sp|Q1XDD2|YCF17_PYRYE Uncharacterized protein ycf17 OS=Pyropia yezoensis OX=2788 GN=ycf17 PE=3 SV=1
Potra2n4c9678	chr4	sp|Q6C2N2|HSE1_YARLI Class E vacuolar protein-sorting machinery protein HSE1 OS=Yarrowia lipolytica (strain CLIB 122 / E 150) OX=284591 GN=HSE1 PE=3 SV=1
Potra2n4c9679	chr4	sp|Q8J0F5|MLCB_PENCI Compactin diketide synthase mlcB OS=Penicillium citrinum OX=5077 GN=mlcB PE=1 SV=1
Potra2n4c9680	chr4	None available
Potra2n4c9681	chr4	sp|P53125|ITC1_YEAST Imitation switch two complex protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ITC1 PE=1 SV=1
Potra2n4c9682	chr4	sp|Q9LZR8|Y5370_ARATH PAN domain-containing protein At5g03700 OS=Arabidopsis thaliana OX=3702 GN=At5g03700 PE=1 SV=1
Potra2n4c9683	chr4	sp|C0LGE0|Y1765_ARATH Probable LRR receptor-like serine/threonine-protein kinase At1g07650 OS=Arabidopsis thaliana OX=3702 GN=At1g07650 PE=1 SV=1
Potra2n4c9684	chr4	sp|S3DB70|GLOM_GLAL2 2-oxoglutarate-dependent dioxygenase gloM OS=Glarea lozoyensis (strain ATCC 20868 / MF5171) OX=1116229 GN=gloM PE=1 SV=1
Potra2n4c9685	chr4	sp|Q940Y1|ORP2A_ARATH Oxysterol-binding protein-related protein 2A OS=Arabidopsis thaliana OX=3702 GN=ORP2A PE=2 SV=1
Potra2n4c9686	chr4	sp|Q940Y1|ORP2A_ARATH Oxysterol-binding protein-related protein 2A OS=Arabidopsis thaliana OX=3702 GN=ORP2A PE=2 SV=1
Potra2n4c9687	chr4	sp|O59722|FAB1_SCHPO 1-phosphatidylinositol 3-phosphate 5-kinase fab1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=fab1 PE=3 SV=2
Potra2n4c9688	chr4	sp|P0DKL2|OP10_MAIZE Protein OPAQUE10 OS=Zea mays OX=4577 GN=O10 PE=1 SV=1
Potra2n4c9689	chr4	sp|Q9CAA7|PUB42_ARATH Putative U-box domain-containing protein 42 OS=Arabidopsis thaliana OX=3702 GN=PUB42 PE=3 SV=1
Potra2n4c9690	chr4	sp|Q93XX5|Y5713_ARATH PI-PLC X domain-containing protein At5g67130 OS=Arabidopsis thaliana OX=3702 GN=At5g67130 PE=1 SV=1
Potra2n4c9691	chr4	sp|Q9SKB2|SBIR1_ARATH Leucine-rich repeat receptor-like serine/threonine/tyrosine-protein kinase SOBIR1 OS=Arabidopsis thaliana OX=3702 GN=SOBIR1 PE=1 SV=1
Potra2n4c9692	chr4	sp|B2GUN4|MARF1_XENTR Meiosis regulator and mRNA stability factor 1 OS=Xenopus tropicalis OX=8364 GN=marf1 PE=2 SV=1
Potra2n4c9693	chr4	None available
Potra2n4c9694	chr4	sp|P42777|GBF4_ARATH G-box-binding factor 4 OS=Arabidopsis thaliana OX=3702 GN=GBF4 PE=1 SV=1
Potra2n4c9695	chr4	None available
Potra2n4c9696	chr4	sp|P21637|COBG_SINSX Precorrin-3B synthase OS=Sinorhizobium sp. OX=42445 GN=cobG PE=3 SV=2
Potra2n4c9697	chr4	sp|Q59971|DOXA_STRS5 Cytochrome P-450 monooxygenase DoxA OS=Streptomyces sp. (strain C5) OX=45212 GN=doxA PE=1 SV=1
Potra2n4c9698	chr4	sp|P28496|LAC1_YEAST Ceramide synthase LAC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LAC1 PE=1 SV=2
Potra2n4c9699	chr4	sp|Q9LVG2|TOE2_ARATH AP2-like ethylene-responsive transcription factor TOE2 OS=Arabidopsis thaliana OX=3702 GN=TOE2 PE=1 SV=1
Potra2n4c9700	chr4	sp|P40157|VID27_YEAST Vacuolar import and degradation protein 27 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VID27 PE=1 SV=1
Potra2n4c9701	chr4	sp|Q0UEM3|CG121_PHANO EKC/KEOPS complex subunit CGI121 OS=Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173) OX=321614 GN=CGI121 PE=3 SV=2
Potra2n4c9702	chr4	sp|Q32K36|RAPA_SHIDS RNA polymerase-associated protein RapA OS=Shigella dysenteriae serotype 1 (strain Sd197) OX=300267 GN=rapA PE=3 SV=1
Potra2n4c9703	chr4	sp|Q6FP05|ATG2_CANGA Autophagy-related protein 2 OS=Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65) OX=284593 GN=ATG2 PE=3 SV=1
Potra2n4c9704	chr4	sp|Q8S2E6|Y1235_ORYSJ B3 domain-containing protein Os01g0723500 OS=Oryza sativa subsp. japonica OX=39947 GN=Os01g0723500 PE=3 SV=1
Potra2n4c9705	chr4	sp|Q2R9D2|Y1176_ORYSJ B3 domain-containing protein Os11g0197600 OS=Oryza sativa subsp. japonica OX=39947 GN=Os11g0197600 PE=2 SV=1
Potra2n4c9706	chr4	None available
Potra2n4c9707	chr4	None available
Potra2n4c9708	chr4	sp|Q7XDH8|KRP4_ORYSJ Cyclin-dependent kinase inhibitor 4 OS=Oryza sativa subsp. japonica OX=39947 GN=KRP4 PE=2 SV=2
Potra2n4c9709	chr4	None available
Potra2n4c9710	chr4	sp|Q12496|YO098_YEAST Uncharacterized protein YOL098C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YOL098C PE=1 SV=1
Potra2n4c9711	chr4	sp|Q27459|ACE1_CAEBR Acetylcholinesterase 1 OS=Caenorhabditis briggsae OX=6238 GN=ace-1 PE=3 SV=1
Potra2n4c9712	chr4	None available
Potra2n4c9713	chr4	sp|P95125|LIPN_MYCTU Carboxylic ester hydrolase LipN OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=lipN PE=1 SV=1
Potra2n4c9714	chr4	sp|Q99PG0|AAAD_MOUSE Arylacetamide deacetylase OS=Mus musculus OX=10090 GN=Aadac PE=1 SV=3
Potra2n4c9715	chr4	None available
Potra2n4c9716	chr4	sp|Q86GC8|ACES_CULPI Acetylcholinesterase OS=Culex pipiens OX=7175 GN=ACHE1 PE=2 SV=2
Potra2n4c9717	chr4	None available
Potra2n4c9718	chr4	sp|Q01109|BAH_STRHY Acetyl-hydrolase OS=Streptomyces hygroscopicus OX=1912 GN=bah PE=3 SV=3
Potra2n4c9719	chr4	sp|A0A443HK52|VDTD1_BYSSP Inactive carboxylesterase-like protein VdtD OS=Byssochlamys spectabilis OX=264951 GN=VdtD PE=3 SV=1
Potra2n4c9720	chr4	None available
Potra2n4c9721	chr4	None available
Potra2n4c9722	chr4	sp|Q03251|RBG8_ARATH Glycine-rich RNA-binding protein 8 OS=Arabidopsis thaliana OX=3702 GN=RBG8 PE=1 SV=1
Potra2n4c9723	chr4	None available
Potra2n4c9724	chr4	sp|Q9M2U3|ALPL_ARATH Protein ALP1-like OS=Arabidopsis thaliana OX=3702 GN=At3g55350 PE=2 SV=1
Potra2n4c9725	chr4	sp|P12965|MOS_XENLA Serine/threonine-protein kinase mos OS=Xenopus laevis OX=8355 GN=mos PE=2 SV=1
Potra2n4c9726	chr4	sp|Q5PPX5|RN170_XENLA E3 ubiquitin-protein ligase RNF170 OS=Xenopus laevis OX=8355 GN=rnf170 PE=2 SV=1
Potra2n4c9727	chr4	None available
Potra2n4c9728	chr4	sp|Q7K486|ARMC6_DROME Armadillo repeat-containing protein 6 homolog OS=Drosophila melanogaster OX=7227 GN=CG5721 PE=1 SV=1
Potra2n4c9729	chr4	None available
Potra2n4c9730	chr4	None available
Potra2n4c9731	chr4	sp|Q8LDR3|CYP23_ARATH Peptidyl-prolyl cis-trans isomerase CYP23 OS=Arabidopsis thaliana OX=3702 GN=CYP23 PE=2 SV=1
Potra2n4c9732	chr4	None available
Potra2n4c9733	chr4	sp|Q6BIB1|CCPR2_DEBHA Putative heme-binding peroxidase OS=Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / JCM 1990 / NBRC 0083 / IGC 2968) OX=284592 GN=DEHA2G12166g PE=3 SV=3
Potra2n4c9734	chr4	sp|D5MCN2|LARP1_CAEEL La-related protein 1 OS=Caenorhabditis elegans OX=6239 GN=larp-1 PE=4 SV=2
Potra2n4c9735	chr4	sp|Q7Y0W5|EHD1_ORYSJ Two-component response regulator ORR30 OS=Oryza sativa subsp. japonica OX=39947 GN=EHD1 PE=1 SV=1
Potra2n4c9736	chr4	sp|O74503|UAF30_SCHPO Upstream activation factor subunit spp27 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=spp27 PE=1 SV=1
Potra2n4c9737	chr4	sp|Q9XIL5|PP154_ARATH Pentatricopeptide repeat-containing protein At2g15820, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=OTP51 PE=2 SV=3
Potra2n4c9738	chr4	sp|D0Z5N4|E2AKB_CAEEL Eukaryotic translation initiation factor 2-alpha kinase gcn-2 OS=Caenorhabditis elegans OX=6239 GN=gcn-2 PE=1 SV=2
Potra2n4c9739	chr4	None available
Potra2n4c9740	chr4	sp|P49420|DHAS_PROMA Aspartate-semialdehyde dehydrogenase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=asd PE=3 SV=2
Potra2n4c9741	chr4	sp|Q7XMJ2|KN10B_ORYSJ Kinesin-like protein KIN-10B OS=Oryza sativa subsp. japonica OX=39947 GN=KIN10B PE=2 SV=2
Potra2n4c9742	chr4	sp|Q5MNH6|LOLO2_EPIUN 2-oxoglutarate-dependent dioxygenase lolO2 OS=Epichloe uncinata OX=5050 GN=lolO2 PE=1 SV=1
Potra2n4c9743	chr4	sp|Q9FK66|RLP55_ARATH Receptor-like protein 55 OS=Arabidopsis thaliana OX=3702 GN=RLP55 PE=1 SV=1
Potra2n4c9744	chr4	sp|Q9XIM0|MEE14_ARATH CCG-binding protein 1 OS=Arabidopsis thaliana OX=3702 GN=MEE14 PE=1 SV=1
Potra2n4c9745	chr4	sp|O82318|Y2579_ARATH Probably inactive leucine-rich repeat receptor-like protein kinase At2g25790 OS=Arabidopsis thaliana OX=3702 GN=At2g25790 PE=1 SV=1
Potra2n4c9746	chr4	sp|Q9FN93|Y5596_ARATH Probable LRR receptor-like serine/threonine-protein kinase At5g59680 OS=Arabidopsis thaliana OX=3702 GN=At5g59680 PE=1 SV=1
Potra2n4c9747	chr4	sp|Q5R7A7|SGK3_PONAB Serine/threonine-protein kinase Sgk3 OS=Pongo abelii OX=9601 GN=SGK3 PE=2 SV=1
Potra2n4c9748	chr4	None available
Potra2n4c9749	chr4	sp|Q8RYD1|REM16_ARATH B3 domain-containing protein REM16 OS=Arabidopsis thaliana OX=3702 GN=REM16 PE=2 SV=1
Potra2n4c9750	chr4	sp|Q10GM4|Y3221_ORYSJ B3 domain-containing protein Os03g0622100 OS=Oryza sativa subsp. japonica OX=39947 GN=Os03g0622100 PE=2 SV=1
Potra2n4c9751	chr4	sp|Q6AV22|Y3196_ORYSJ B3 domain-containing protein Os03g0619600 OS=Oryza sativa subsp. japonica OX=39947 GN=Os03g0619600 PE=2 SV=1
Potra2n4c9752	chr4	sp|Q7XS74|Y4474_ORYSJ Putative B3 domain-containing protein Os04g0347400 OS=Oryza sativa subsp. japonica OX=39947 GN=Os04g0347400 PE=3 SV=3
Potra2n4c9753	chr4	sp|Q59203|CPXP_BRADU Cytochrome P450 BJ-1 OS=Bradyrhizobium diazoefficiens (strain JCM 10833 / IAM 13628 / NBRC 14792 / USDA 110) OX=224911 GN=cyp112 PE=3 SV=2
Potra2n4c9754	chr4	sp|Q32LU7|PTCD3_DANRE Pentatricopeptide repeat domain-containing protein 3, mitochondrial OS=Danio rerio OX=7955 GN=ptcd3 PE=2 SV=1
Potra2n4c9755	chr4	sp|Q6AZN6|PK3C3_XENLA Phosphatidylinositol 3-kinase catalytic subunit type 3 OS=Xenopus laevis OX=8355 GN=pik3c3 PE=2 SV=1
Potra2n4c9756	chr4	sp|Q4VT42|GPA10_CAEBR Guanine nucleotide-binding protein alpha-10 subunit OS=Caenorhabditis briggsae OX=6238 GN=gpa-10 PE=3 SV=2
Potra2n4c9757	chr4	sp|P0CS48|PRP46_CRYNJ Pre-mRNA-splicing factor PRP46 OS=Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) OX=214684 GN=PRP46 PE=3 SV=1
Potra2n4c9758	chr4	sp|Q9EST4|PSMG2_MOUSE Proteasome assembly chaperone 2 OS=Mus musculus OX=10090 GN=Psmg2 PE=1 SV=1
Potra2n4c9759	chr4	sp|Q9SM57|OEP21_PEA Outer envelope pore protein 21, chloroplastic OS=Pisum sativum OX=3888 GN=OEP21 PE=1 SV=1
Potra2n4c9760	chr4	sp|Q42716|C71A8_MENPI Cytochrome P450 71A8 OS=Mentha piperita OX=34256 GN=CYP71A8 PE=3 SV=1
Potra2n4c9761	chr4	sp|F5BHA2|T19H_CATRO Tabersonine/lochnericine 19-hydroxylase OS=Catharanthus roseus OX=4058 GN=T19H PE=1 SV=1
Potra2n4c9762	chr4	sp|F4I1G5|CRIM2_ARATH Cold-regulated 413 inner membrane protein 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=COR413IM2 PE=1 SV=1
Potra2n4c9763	chr4	sp|Q7ZYC4|ACBG2_XENLA Long-chain-fatty-acid--CoA ligase ACSBG2 OS=Xenopus laevis OX=8355 GN=acsbg2 PE=2 SV=1
Potra2n4c9764	chr4	sp|Q9XIA7|TOM6_ARATH Mitochondrial import receptor subunit TOM6 homolog OS=Arabidopsis thaliana OX=3702 GN=TOM6 PE=1 SV=1
Potra2n4c9765	chr4	sp|P0DI67|CSPLO_MAIZE CASP-like protein 5A1 OS=Zea mays OX=4577 PE=2 SV=1
Potra2n4c9766	chr4	None available
Potra2n4c9767	chr4	sp|Q9FGL1|PP423_ARATH Putative pentatricopeptide repeat-containing protein At5g47460 OS=Arabidopsis thaliana OX=3702 GN=PCMP-E103 PE=3 SV=1
Potra2n4c9768	chr4	None available
Potra2n4c9769	chr4	None available
Potra2n4c9770	chr4	None available
Potra2n4c9771	chr4	sp|Q941P9|HBL2_SOLLC Non-symbiotic hemoglobin 2 OS=Solanum lycopersicum OX=4081 GN=HB2 PE=2 SV=1
Potra2n4c9772	chr4	sp|Q9XII1|PDV2_ARATH Plastid division protein PDV2 OS=Arabidopsis thaliana OX=3702 GN=PDV2 PE=1 SV=1
Potra2n4c9773	chr4	None available
Potra2n4c9774	chr4	sp|Q9SKC2|ARI11_ARATH Probable E3 ubiquitin-protein ligase ARI11 OS=Arabidopsis thaliana OX=3702 GN=ARI11 PE=2 SV=1
Potra2n4c9775	chr4	sp|O07609|YHFK_BACSU Uncharacterized sugar epimerase YhfK OS=Bacillus subtilis (strain 168) OX=224308 GN=yhfK PE=2 SV=1
Potra2n4c9776	chr4	sp|Q3B241|ISPH_PELLD 4-hydroxy-3-methylbut-2-enyl diphosphate reductase OS=Pelodictyon luteolum (strain DSM 273 / 2530) OX=319225 GN=ispH PE=3 SV=1
Potra2n4c9777	chr4	sp|Q9C270|PWP2_NEUCR Periodic tryptophan protein 2 homolog OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=B18D24.40 PE=3 SV=1
Potra2n4c9778	chr4	sp|Q6AUK6|MTEF4_ORYSJ Transcription termination factor MTERF4, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=Os05g0404000 PE=2 SV=1
Potra2n4c9779	chr4	sp|Q9SMN4|U496J_ARATH UPF0496 protein At3g48650 OS=Arabidopsis thaliana OX=3702 GN=At3g48650 PE=2 SV=1
Potra2n4c9780	chr4	sp|B0SJ27|MIAA_LEPBP tRNA dimethylallyltransferase OS=Leptospira biflexa serovar Patoc (strain Patoc 1 / ATCC 23582 / Paris) OX=456481 GN=miaA PE=3 SV=1
Potra2n4c9781	chr4	None available
Potra2n4c9782	chr4	None available
Potra2n4c9783	chr4	sp|O29904|NQOR_ARCFU NAD(P)H dehydrogenase (quinone) OS=Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126) OX=224325 GN=AF_0343 PE=1 SV=1
Potra2n4c9784	chr4	sp|Q8X1T0|SDU1_SCHPO DeSI-like protein sdu1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sdu1 PE=1 SV=1
Potra2n4c9785	chr4	None available
Potra2n4c9786	chr4	None available
Potra2n4c9787	chr4	None available
Potra2n4c9788	chr4	sp|P30235|PSUK_ECOLI Pseudouridine kinase OS=Escherichia coli (strain K12) OX=83333 GN=psuK PE=1 SV=2
Potra2n4c9789	chr4	sp|Q7ZX53|S22FL_XENLA Solute carrier family 22 member 15-like OS=Xenopus laevis OX=8355 GN=slc22a15b PE=2 SV=1
Potra2n4c9790	chr4	None available
Potra2n4c9791	chr4	sp|Q9WTN6|S22AL_MOUSE Solute carrier family 22 member 21 OS=Mus musculus OX=10090 GN=Slc22a21 PE=2 SV=1
Potra2n4c9792	chr4	sp|Q8N8J0|PI4P1_HUMAN Putative inactive phosphatidylinositol 4-kinase alpha-like protein P1 OS=Homo sapiens OX=9606 GN=PI4KAP1 PE=5 SV=1
Potra2n4c9793	chr4	None available
Potra2n4c9794	chr4	sp|Q84VW5|MED32_ARATH Mediator of RNA polymerase II transcription subunit 32 OS=Arabidopsis thaliana OX=3702 GN=MED32 PE=1 SV=1
Potra2n4c9795	chr4	sp|Q12063|UPPS_YEAST Dehydrodolichyl diphosphate synthase complex subunit NUS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NUS1 PE=1 SV=1
Potra2n4c9796	chr4	sp|Q9XJ35|CLPR1_ARATH ATP-dependent Clp protease proteolytic subunit-related protein 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CLPR1 PE=1 SV=1
Potra2n4c9797	chr4	sp|Q5Z5C9|BURPB_ORYSJ BURP domain-containing protein 11 OS=Oryza sativa subsp. japonica OX=39947 GN=BURP11 PE=2 SV=1
Potra2n4c9798	chr4	None available
